Rank 168: no CSV to process (len(file_list_muons)=100), exiting.
[rank 56] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_23_54_32_CDT.FLOW.hdf5.csv
[rank 56] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_23_54_32_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_23_54_32_CDT.FLOW.hdf5.csv'.
[rank 78] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_03_34_55_CDT.FLOW.hdf5.csv
[rank 78] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_03_34_55_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_03_34_55_CDT.FLOW.hdf5.csv'.
[rank 50] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_22_54_25_CDT.FLOW.hdf5.csv
[rank 50] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_22_54_25_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_22_54_25_CDT.FLOW.hdf5.csv'.
[rank 21] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_17_53_53_CDT.FLOW.hdf5.csv
[rank 21] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_17_53_53_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_17_53_53_CDT.FLOW.hdf5.csv'.
[rank 74] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_02_54_51_CDT.FLOW.hdf5.csv
[rank 74] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_02_54_51_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_02_54_51_CDT.FLOW.hdf5.csv'.
[rank 75] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_03_04_52_CDT.FLOW.hdf5.csv
[rank 75] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_03_04_52_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_03_04_52_CDT.FLOW.hdf5.csv'.
[rank 62] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_00_54_38_CDT.FLOW.hdf5.csv
[rank 62] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_00_54_38_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_00_54_38_CDT.FLOW.hdf5.csv'.
[rank 97] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_06_55_17_CDT.FLOW.hdf5.csv
[rank 97] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_06_55_17_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_06_55_17_CDT.FLOW.hdf5.csv'.
[rank 68] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_01_54_45_CDT.FLOW.hdf5.csv
[rank 68] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_01_54_45_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_01_54_45_CDT.FLOW.hdf5.csv'.
[rank 22] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_18_03_54_CDT.FLOW.hdf5.csv
[rank 22] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_18_03_54_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_18_03_54_CDT.FLOW.hdf5.csv'.
[rank 14] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_16_43_45_CDT.FLOW.hdf5.csv
[rank 14] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_16_43_45_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_16_43_45_CDT.FLOW.hdf5.csv'.
[rank 85] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_04_45_03_CDT.FLOW.hdf5.csv
[rank 85] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_04_45_03_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_04_45_03_CDT.FLOW.hdf5.csv'.
[rank 52] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_23_14_27_CDT.FLOW.hdf5.csv
[rank 52] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_23_14_27_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_23_14_27_CDT.FLOW.hdf5.csv'.
[rank 12] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_16_23_43_CDT.FLOW.hdf5.csv
[rank 12] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_16_23_43_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_16_23_43_CDT.FLOW.hdf5.csv'.
[rank 70] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_02_14_47_CDT.FLOW.hdf5.csv
[rank 70] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_02_14_47_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_02_14_47_CDT.FLOW.hdf5.csv'.
[rank 16] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_17_03_47_CDT.FLOW.hdf5.csv
[rank 16] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_17_03_47_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_17_03_47_CDT.FLOW.hdf5.csv'.
[rank 44] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_21_54_19_CDT.FLOW.hdf5.csv
[rank 44] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_21_54_19_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_21_54_19_CDT.FLOW.hdf5.csv'.
[rank 73] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_02_44_50_CDT.FLOW.hdf5.csv
[rank 73] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_02_44_50_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_02_44_50_CDT.FLOW.hdf5.csv'.
[rank 98] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_07_05_18_CDT.FLOW.hdf5.csv
[rank 98] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_07_05_18_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_07_05_18_CDT.FLOW.hdf5.csv'.
[rank 59] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_00_24_35_CDT.FLOW.hdf5.csv
[rank 59] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_00_24_35_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_00_24_35_CDT.FLOW.hdf5.csv'.
[rank 29] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_19_14_02_CDT.FLOW.hdf5.csv
[rank 29] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_19_14_02_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_19_14_02_CDT.FLOW.hdf5.csv'.
[rank 30] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_19_24_03_CDT.FLOW.hdf5.csv
[rank 30] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_19_24_03_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_19_24_03_CDT.FLOW.hdf5.csv'.
[rank 34] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_20_04_07_CDT.FLOW.hdf5.csv
[rank 34] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_20_04_07_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_20_04_07_CDT.FLOW.hdf5.csv'.
[rank 48] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_22_34_23_CDT.FLOW.hdf5.csv
[rank 48] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_22_34_23_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_22_34_23_CDT.FLOW.hdf5.csv'.
[rank 35] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_20_14_08_CDT.FLOW.hdf5.csv
[rank 35] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_20_14_08_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_20_14_08_CDT.FLOW.hdf5.csv'.
[rank 72] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_02_34_49_CDT.FLOW.hdf5.csv
[rank 72] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_02_34_49_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_02_34_49_CDT.FLOW.hdf5.csv'.
[rank 1] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_13_53_27_CDT.FLOW.hdf5.csv
[rank 1] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_13_53_27_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_13_53_27_CDT.FLOW.hdf5.csv'.
[rank 55] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_23_44_31_CDT.FLOW.hdf5.csv
[rank 55] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_23_44_31_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_23_44_31_CDT.FLOW.hdf5.csv'.
[rank 92] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_06_05_11_CDT.FLOW.hdf5.csv
[rank 92] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_06_05_11_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_06_05_11_CDT.FLOW.hdf5.csv'.
[rank 43] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_21_44_18_CDT.FLOW.hdf5.csv
[rank 43] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_21_44_18_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_21_44_18_CDT.FLOW.hdf5.csv'.
[rank 18] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_17_23_50_CDT.FLOW.hdf5.csv
[rank 18] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_17_23_50_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_17_23_50_CDT.FLOW.hdf5.csv'.
[rank 61] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_00_44_37_CDT.FLOW.hdf5.csv
[rank 61] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_00_44_37_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_00_44_37_CDT.FLOW.hdf5.csv'.
[rank 25] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_18_33_58_CDT.FLOW.hdf5.csv
[rank 25] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_18_33_58_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_18_33_58_CDT.FLOW.hdf5.csv'.
[rank 65] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_01_24_41_CDT.FLOW.hdf5.csv
[rank 65] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_01_24_41_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_01_24_41_CDT.FLOW.hdf5.csv'.
[rank 23] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_18_13_55_CDT.FLOW.hdf5.csv
[rank 23] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_18_13_55_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_18_13_55_CDT.FLOW.hdf5.csv'.
[rank 64] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_01_14_40_CDT.FLOW.hdf5.csv
[rank 64] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_01_14_40_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_01_14_40_CDT.FLOW.hdf5.csv'.
[rank 13] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_16_33_44_CDT.FLOW.hdf5.csv
[rank 13] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_16_33_44_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_16_33_44_CDT.FLOW.hdf5.csv'.
[rank 42] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_21_34_17_CDT.FLOW.hdf5.csv
[rank 42] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_21_34_17_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_21_34_17_CDT.FLOW.hdf5.csv'.
[rank 76] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_03_14_53_CDT.FLOW.hdf5.csv
[rank 76] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_03_14_53_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_03_14_53_CDT.FLOW.hdf5.csv'.
[rank 86] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_05_05_05_CDT.FLOW.hdf5.csv
[rank 86] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_05_05_05_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_05_05_05_CDT.FLOW.hdf5.csv'.
[rank 40] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_21_14_15_CDT.FLOW.hdf5.csv
[rank 40] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_21_14_15_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_21_14_15_CDT.FLOW.hdf5.csv'.
[rank 26] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_18_43_59_CDT.FLOW.hdf5.csv
[rank 26] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_18_43_59_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_18_43_59_CDT.FLOW.hdf5.csv'.
[rank 27] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_18_54_00_CDT.FLOW.hdf5.csv
[rank 27] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_18_54_00_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_18_54_00_CDT.FLOW.hdf5.csv'.
[rank 94] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_06_25_13_CDT.FLOW.hdf5.csv
[rank 94] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_06_25_13_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_06_25_13_CDT.FLOW.hdf5.csv'.
[rank 57] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_00_04_33_CDT.FLOW.hdf5.csv
[rank 57] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_00_04_33_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_00_04_33_CDT.FLOW.hdf5.csv'.
[rank 39] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_21_04_13_CDT.FLOW.hdf5.csv
[rank 39] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_21_04_13_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_21_04_13_CDT.FLOW.hdf5.csv'.
[rank 83] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_04_25_01_CDT.FLOW.hdf5.csv
[rank 83] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_04_25_01_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_04_25_01_CDT.FLOW.hdf5.csv'.
[rank 9] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_15_53_40_CDT.FLOW.hdf5.csv
[rank 9] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_15_53_40_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_15_53_40_CDT.FLOW.hdf5.csv'.
[rank 6] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_14_43_32_CDT.FLOW.hdf5.csv
[rank 6] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_14_43_32_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_14_43_32_CDT.FLOW.hdf5.csv'.
[rank 93] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_06_15_12_CDT.FLOW.hdf5.csv
[rank 93] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_09_06_15_12_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_09_06_15_12_CDT.FLOW.hdf5.csv'.
[rank 2] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5.csv
[rank 2] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_14_03_28_CDT.FLOW.hdf5.csv'.
[rank 38] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_20_44_11_CDT.FLOW.hdf5.csv
[rank 38] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_20_44_11_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_20_44_11_CDT.FLOW.hdf5.csv'.
[rank 28] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_19_04_01_CDT.FLOW.hdf5.csv
[rank 28] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_19_04_01_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_19_04_01_CDT.FLOW.hdf5.csv'.
[rank 41] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_21_24_16_CDT.FLOW.hdf5.csv
[rank 41] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_21_24_16_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_21_24_16_CDT.FLOW.hdf5.csv'.
[rank 3] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_08_14_13_29_CDT.FLOW.hdf5.csv
[rank 3] HDF5: /global/cfs/cdirs/dune/www/data/2x2/reflows/v11/flow/beam/july8_2024/nominal_hv/packet-0050017-2024_07_08_14_13_29_CDT.FLOW.hdf5
[rank worker] Wrote 128 traps to 'pde_files/pde_packet-0050017-2024_07_08_14_13_29_CDT.FLOW.hdf5.csv'.
[rank 77] CSV : /global/cfs/cdirs/dune/users/wermelinger/2x2/PDE_study/run1_2x2_muons_first100/packet-0050017-2024_07_09_03_24_54_CDT.FLOW.hdf5.csv
